Field,Description
ProviderDates/Type,"UMM-G JSON schema ProviderDateTypeEnum = [""Create"", ""Insert"", ""Update"", ""Delete""]"
DataGranule/ArchiveAndDistributionInformation/SizeUnit,"UMM-G JSON schema FileSizeUnitEnum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB"", ""NA""]"
DataGranule/ArchiveAndDistributionInformation/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv
Only values in the ""Short_Name"" column."
DataGranule/ArchiveAndDistributionInformation/FormatType,"UMM-G JSON schema ""FormatType"" enum = [""Native"", ""Supported"", ""NA""]"
DataGranule/ArchiveAndDistributionInformation/MimeType,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/MimeType/?format=csv
DataGranule/ArchiveAndDistributionInformation/Checksum/Algorithm,"UMM-G JSON schema ""Algorithm"" enum = [""Adler-32"", ""BSD checksum"", ""Fletcher-32"", ""Fletcher-64"", ""MD5"", ""POSIX"", ""SHA-1"", ""SHA-2"", ""SHA-256"", ""SHA-384"", ""SHA-512"", ""SM3"", ""SYSV""]"
DataGranule/ArchiveAndDistributionInformation/Files/SizeUnit,"UMM-G JSON schema FileSizeUnitEnum = [""KB"", ""MB"", ""GB"", ""TB"", ""PB"", ""NA""]"
DataGranule/ArchiveAndDistributionInformation/Files/Format,"GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/GranuleDataFormat/?format=csv
Only values in the ""Short_Name"" column."
DataGranule/ArchiveAndDistributionInformation/Files/MimeType,GCMD Keywords https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/MimeType/?format=csv
DataGranule/ArchiveAndDistributionInformation/Files/Checksum/Algorithm,"UMM-G JSON schema ""Algorithm"" enum = [""Adler-32"", ""BSD checksum"", ""Fletcher-32"", ""Fletcher-64"", ""MD5"", ""POSIX"", ""SHA-1"", ""SHA-2"", ""SHA-256"", ""SHA-384"", ""SHA-512"", ""SM3"", ""SYSV""]"
