umm_field,iso_field
Abstract,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:abstract/gco:CharacterString
AccessConstraints,/mdb:MD_Metadata/mdb:identificationInfo/mri:MD_DataIdentification/mri:resourceConstraints/mco:MD_LegalConstraints/ [=>
AccessConstraints/Description,"[=> mco:accessConstriants/mco:MD_RestrictionCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_RestrictionCode"" codeListValue=""otherRestrictions""=otherRestrictions
[=> mco:otherConstraints/gco:CharacterString (prefix:'Access Constraints Description:')"
AccessConstraints/Value,"[=> mco:accessConstriants/mco:MD_RestrictionCode codeList=https://cdn.earthdata.nasa.gov/iso/resources/Codelist/gmxCodelists.xml#MD_RestrictionCode"" codeListValue=""otherRestrictions""=otherRestrictions
[=> mco:otherConstraints/gco:CharacterString (prefix:'Access Constraints Value:')"
AdditionalAttributes,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute
AdditionalAttributes/DataType,"/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:dataType/eos:EOS_AdditionalAttributeDataTypeCode codeList=""http://earthdata.nasa.gov/metadata/resources/Codelists.xml#EOS_AdditionalAttributeDataTypeCode"" codeListValue=""*dataType*"">*dataType*</eos:EOS_AdditionalAttributeDataTypeCode>
  where *dataType* = STRING,FLOAT,INT, etc."
AdditionalAttributes/Description,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:description/gco:CharacterString
AdditionalAttributes/Identifier,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:identifier/gmd:MD_Identifier/gmd:code/gco:CharacterString
AdditionalAttributes/MeasurementResolution,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:measurementResolution/gco:CharacterString
AdditionalAttributes/Name,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:name/gco:CharacterString
AdditionalAttributes/ParameterRangeBegin,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:parameterRangeBegin/gco:CharacterString
AdditionalAttributes/ParameterRangeEnd,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:parameterRangeEnd/gco:CharacterString
AdditionalAttributes/ParameterUnitsOfMeasure,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:parameterUnitsOfMeasure/gco:CharacterString
AdditionalAttributes/ParameterValueAccuracy,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:parameterValueAccuracy/gco:CharacterString
AdditionalAttributes/Type,"/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:reference/eos:EOS_AdditionalAttributeDescription/eos:type/eos:EOS_AdditionalAttributeTypeCode codeList=""https://cdn.earthdata.nasa.gov/iso/resources/Codelist/eosCodelists.xml#EOS_AdditionalAttributeTypeCode"" codeListValue=""*type*"">*type*
  where *type* = processingInformation"
AdditionalAttributes/Value,/mdb:MD_Metadata/mdb:resourceLineage/mrl:LI_Lineage/mrl:source/mil:LE_Source/mrl:processStep/mil:LE_ProcessStep/mrl:processor/mil:processingInformation/eos:EOS_Processing/eos:otherProperty/gco:Record/eos:AdditionalAttributes/eos:AdditionalAttribute/eos:value/gco:CharacterString
